id,sumgrades,questionid,slot,maxmark,mark
39872,12,1,1,1,0
39873,12,2,2,1,0
39874,12,3,3,1,0
39875,12,4,4,1,0
39896,12,5,5,0,0
39897,12,6,6,0,0
39898,12,7,7,0,0
39899,12,8,8,8,5.5
39900,12,14,9,1,0.3
39901,12,15,10,1,0.9
39902,12,16,11,1,1
39903,12,17,12,1,0.3
39910,12,18,19,1,0
39911,12,19,20,1,1
39908,12,20,17,1,1
39909,12,21,18,1,0
39905,12,22,14,1,0
39906,12,23,15,1,0
39907,12,24,16,1,1
39904,12,25,13,1,1
39992,7.4,1,1,1,0
39993,7.4,2,2,1,0
39994,7.4,3,3,1,0
39995,7.4,4,4,1,0
40016,7.4,5,5,0,0
40017,7.4,6,6,0,0
40018,7.4,7,7,0,0
40019,7.4,8,8,8,1
40020,7.4,14,9,1,0.9
40021,7.4,15,10,1,0.9
40022,7.4,16,11,1,0.3
40023,7.4,17,12,1,0.3
40030,7.4,18,19,1,0
40031,7.4,19,20,1,1
40028,7.4,20,17,1,0
40029,7.4,21,18,1,1
40025,7.4,22,14,1,0
40026,7.4,23,15,1,0
40027,7.4,24,16,1,1
40024,7.4,25,13,1,1
40032,11.7,1,1,1,0
40033,11.7,2,2,1,0
40034,11.7,3,3,1,0
40035,11.7,4,4,1,0
40056,11.7,5,5,0,0
40057,11.7,6,6,0,0
40058,11.7,7,7,0,0
40059,11.7,8,8,8,2.5
40060,11.7,14,9,1,1
40061,11.7,15,10,1,0.9
40062,11.7,16,11,1,0.3
40063,11.7,17,12,1,1
40070,11.7,18,19,1,1
40071,11.7,19,20,1,1
40068,11.7,20,17,1,1
40069,11.7,21,18,1,1
40065,11.7,22,14,1,0
40066,11.7,23,15,1,1
40067,11.7,24,16,1,1
40064,11.7,25,13,1,0
39352,8.5,1,1,1,0
39353,8.5,2,2,1,0
39354,8.5,3,3,1,0
39355,8.5,4,4,1,0
39376,8.5,5,5,0,0
39377,8.5,6,6,0,0
39378,8.5,7,7,0,0
39379,8.5,8,8,8,4
39380,8.5,14,9,1,0.3
39381,8.5,15,10,1,0.9
39382,8.5,16,11,1,1
39383,8.5,17,12,1,0.3
39390,8.5,18,19,1,0
39391,8.5,19,20,1,1
39388,8.5,20,17,1,1
39389,8.5,21,18,1,0
39385,8.5,22,14,1,0
39386,8.5,23,15,1,0
39387,8.5,24,16,1,0
39384,8.5,25,13,1,0
37112,10.1,1,1,1,0
37113,10.1,2,2,1,0
37114,10.1,3,3,1,0
37115,10.1,4,4,1,0
37136,10.1,5,5,0,0
37137,10.1,6,6,0,0
37138,10.1,7,7,0,0
37139,10.1,8,8,8,3
37140,10.1,14,9,1,0.9
37141,10.1,15,10,1,0.3
37142,10.1,16,11,1,0.9
37143,10.1,17,12,1,1
37150,10.1,18,19,1,1
37151,10.1,19,20,1,0
37148,10.1,20,17,1,1
37149,10.1,21,18,1,1
37145,10.1,22,14,1,1
37146,10.1,23,15,1,0
37147,10.1,24,16,1,0
37144,10.1,25,13,1,0
37432,11.3,1,1,1,0
37433,11.3,2,2,1,0
37434,11.3,3,3,1,0
37435,11.3,4,4,1,0
37456,11.3,5,5,0,0
37457,11.3,6,6,0,0
